,Row 1,Time
257001,1.07791,257.001
257002,1.08159,257.002
257003,1.08402,257.003
257004,1.08653,257.004
257005,1.08916,257.005
257006,1.09113,257.006
257007,1.09063,257.007
257008,1.08879,257.008
257009,1.08679,257.009
257010,1.08278,257.01
257011,1.07956,257.011
257012,1.07682,257.012
257013,1.07412,257.013
257014,1.07262,257.014
257015,1.07314,257.015
257016,1.07583,257.016
257017,1.07712,257.017
257018,1.08101,257.018
257019,1.0834,257.019
257020,1.08669,257.02
257021,1.08841,257.021
257022,1.09104,257.022
257023,1.09037,257.023
257024,1.08905,257.024
257025,1.08642,257.025
257026,1.08354,257.026
257027,1.07968,257.027
257028,1.07733,257.028
257029,1.0742,257.029
257030,1.07246,257.03
257031,1.07276,257.031
257032,1.07483,257.032
257033,1.07654,257.033
257034,1.08034,257.034
257035,1.08344,257.035
257036,1.0859,257.036
257037,1.08871,257.037
257038,1.09054,257.038
257039,1.09058,257.039
257040,1.08913,257.04
257041,1.08774,257.041
257042,1.08389,257.042
257043,1.08097,257.043
257044,1.07778,257.044
257045,1.07473,257.045
257046,1.07239,257.046
257047,1.07312,257.047
257048,1.07423,257.048
257049,1.07683,257.049
257050,1.07955,257.05
257051,1.08324,257.051
257052,1.08521,257.052
257053,1.08817,257.053
257054,1.09034,257.054
257055,1.0909,257.055
257056,1.08945,257.056
257057,1.08808,257.057
257058,1.08426,257.058
257059,1.08147,257.059
257060,1.07772,257.06
257061,1.07521,257.061
257062,1.07246,257.062
257063,1.07276,257.063
257064,1.07374,257.064
257065,1.07623,257.065
257066,1.07874,257.066
257067,1.08239,257.067
257068,1.08505,257.068
257069,1.08782,257.069
257070,1.08942,257.07
257071,1.09134,257.071
257072,1.08984,257.072
257073,1.08805,257.073
257074,1.08508,257.074
257075,1.08172,257.075
257076,1.07817,257.076
257077,1.07545,257.077
257078,1.07317,257.078
257079,1.07222,257.079
257080,1.07453,257.08
257081,1.07567,257.081
257082,1.0787,257.082
257083,1.08253,257.083
257084,1.08861,257.084
257085,1.09178,257.085
257086,1.09305,257.086
257087,1.09334,257.087
257088,1.09175,257.088
257089,1.08976,257.089
257090,1.08659,257.09
257091,1.08294,257.091
257092,1.08002,257.092
257093,1.07673,257.093
257094,1.07377,257.094
257095,1.07285,257.095
257096,1.07371,257.096
257097,1.0761,257.097
257098,1.07797,257.098
257099,1.08185,257.099
257100,1.08458,257.1
257101,1.08721,257.101
257102,1.08946,257.102
257103,1.09163,257.103
257104,1.09061,257.104
257105,1.08881,257.105
257106,1.08685,257.106
257107,1.08262,257.107
257108,1.07952,257.108
257109,1.07671,257.109
257110,1.07397,257.11
257111,1.07206,257.111
257112,1.0737,257.112
257113,1.07509,257.113
257114,1.07784,257.114
257115,1.08073,257.115
257116,1.08414,257.116
257117,1.08601,257.117
257118,1.08929,257.118
257119,1.09045,257.119
257120,1.0906,257.12
257121,1.0893,257.121
257122,1.08656,257.122
257123,1.08288,257.123
257124,1.08018,257.124
257125,1.0767,257.125
257126,1.07394,257.126
257127,1.07248,257.127
257128,1.07338,257.128
257129,1.07498,257.129
257130,1.07715,257.13
257131,1.08041,257.131
257132,1.08348,257.132
257133,1.08572,257.133
257134,1.08853,257.134
257135,1.09084,257.135
257136,1.09078,257.136
257137,1.08925,257.137
257138,1.08719,257.138
257139,1.08423,257.139
257140,1.08025,257.14
257141,1.07778,257.141
257142,1.07435,257.142
257143,1.07268,257.143
257144,1.07259,257.144
257145,1.07493,257.145
257146,1.07663,257.146
257147,1.08027,257.147
257148,1.08243,257.148
257149,1.08618,257.149
257150,1.08787,257.15
257151,1.09057,257.151
257152,1.09045,257.152
257153,1.08989,257.153
257154,1.08744,257.154
257155,1.08476,257.155
257156,1.0809,257.156
257157,1.07788,257.157
257158,1.07535,257.158
257159,1.07252,257.159
257160,1.07279,257.16
257161,1.07446,257.161
257162,1.07644,257.162
257163,1.07867,257.163
257164,1.08314,257.164
257165,1.08509,257.165
257166,1.08797,257.166
257167,1.09018,257.167
257168,1.09106,257.168
257169,1.08955,257.169
257170,1.08831,257.17
257171,1.08502,257.171
257172,1.08137,257.172
257173,1.0782,257.173
257174,1.07571,257.174
257175,1.07262,257.175
257176,1.07223,257.176
257177,1.07363,257.177
257178,1.07594,257.178
257179,1.07892,257.179
257180,1.08228,257.18
257181,1.08496,257.181
257182,1.08715,257.182
257183,1.09025,257.183
257184,1.09067,257.184
257185,1.09047,257.185
257186,1.08823,257.186
257187,1.08574,257.187
257188,1.08182,257.188
257189,1.07933,257.189
257190,1.07598,257.19
257191,1.07315,257.191
257192,1.07212,257.192
257193,1.07373,257.193
257194,1.07503,257.194
257195,1.07863,257.195
257196,1.08143,257.196
257197,1.08429,257.197
257198,1.08686,257.198
257199,1.08919,257.199
